STATE BANK OF INDIA,Hindustan Aeronautics Ltd,PANACEA BIOTEC LTD.,HINDUSTAN COPPER LTD.,HAVELLS INDIA LTD.,ITC LTD.,BAYER CROPSCIENCE LTD.,BHARAT ELECTRONICS LTD.,BHARAT HEAVY ELECTRICALS LTD.,GREAT EASTERN SHIPPING CO.LTD.,Tata Consumer Products Ltd,MARUTI SUZUKI INDIA LTD.,COAL INDIA LTD.,MRF LTD.,ENGINEERS INDIA LTD.,INFOSYS LTD.,ORACLE FINANCIAL SERVICES SOFTWARE LTD.,Quick Heal Technologies Ltd,STEEL AUTHORITY OF INDIA LTD.,BAJAJ ELECTRICALS LTD.-$,Zee Media Corporation Limited,ATUL AUTO LTD.-$,HINDUSTAN MOTORS LTD.,RUCHI SOYA INDUSTRIES LTD.,BANCO PRODUCTS (INDIA) LTD.-$,JAY SHREE TEA & INDUSTRIES LTD.,IFB AGRO INDUSTRIES LTD.,HINDUJA GLOBAL SOLUTIONS LTD.,ANDHRA CEMENTS LTD.,TILAKNAGAR INDUSTRIES LTD.-$
196.75,700.85,179.15,34.7,720.8,168.55,5379.65,89.95,29.45,227.5,476.8,7054.45,114.5,63280.7,65.7,1112.1,3253.65,164.55,35.2,503.6,5.04,158.95,5.09,528.5,95.6,59.2,343.85,673.3,5.2,17.9
194.6,700.25,179.5,34.65,725.9,167.2,5263.25,89.75,29.6,232.15,499.2,7158.6,113.65,68575.15,66.25,1092.15,3215.5,166.3,34.1,498.1,4.89,157.9,5.01,524.1,94.15,58.4,336.5,669.45,5.21,17.85
190.5,700.55,177.2,33.65,728.25,165.55,5353.45,88.25,28.65,228.4,492.85,7182.45,112.65,66760.85,64.85,1076.6,3177.55,164.95,34.4,488.15,4.81,157.0,5.0,518.25,91.7,60.45,336.85,662.2,5.02,17.65
188.8,694.8,174.9,33.0,725.05,163.85,5365.8,86.7,27.85,226.6,491.15,7114.0,110.85,67215.4,64.25,1074.8,3103.3,160.45,33.65,491.35,4.85,155.8,4.96,512.95,90.7,61.95,341.05,657.25,4.85,17.05
189.25,687.7,174.1,33.0,728.8,165.25,5443.45,87.05,28.0,225.15,493.3,6956.2,114.2,65256.5,64.95,1060.6,3143.95,161.05,34.35,488.0,4.76,157.1,5.04,511.85,89.9,60.9,327.6,665.45,4.8,17.15
196.0,674.85,171.25,32.5,782.15,166.7,5370.2,88.65,27.85,220.35,493.35,6863.35,115.65,66185.05,64.15,1072.0,3143.9,158.45,34.05,486.5,4.75,155.85,4.92,510.15,89.55,59.55,338.45,663.95,4.99,17.25
204.75,672.8,171.9,33.1,783.55,170.1,5381.15,89.45,27.95,218.0,489.55,6915.15,116.5,67705.95,64.15,1061.95,3098.0,160.15,34.65,483.4,4.75,153.95,4.99,516.05,89.0,59.35,338.1,674.95,4.79,17.5
207.05,661.05,172.4,33.05,807.25,169.7,5366.4,88.9,27.2,219.55,492.7,6952.2,114.75,68453.05,64.25,1094.0,3079.2,161.9,34.75,486.6,4.63,153.0,4.86,516.65,90.1,58.85,337.5,672.2,4.84,16.5
218.7,700.6,173.8,34.45,817.9,174.8,5548.15,92.9,28.35,227.25,506.35,7093.35,119.95,68525.95,64.8,1103.9,3066.7,163.95,38.25,503.55,4.71,159.25,4.94,519.9,91.35,63.35,336.3,700.35,4.89,16.55
219.05,702.1,176.6,34.25,818.65,173.95,5573.4,92.4,27.95,223.2,504.3,6905.6,121.8,68514.05,67.3,1113.4,3073.95,166.8,38.0,499.2,4.91,159.3,4.94,520.2,91.55,62.25,357.7,715.6,4.84,17.25
